label,cutoff,skr
E: Short memory stress test,37,0.011610479294841523
E: Short memory stress test,38,0.011595945329434408
E: Short memory stress test,39,0.01158629718670952
E: Short memory stress test,40,0.011603095743582955
E: Short memory stress test,41,0.011594528538020309
E: Short memory stress test,42,0.011587712784226356
E: Short memory stress test,43,0.011574384261132036
E: Short memory stress test,44,0.011560259238802358
E: Short memory stress test,45,0.011554129031208678
E: Short memory stress test,46,0.011544101106015961
E: Short memory stress test,47,0.011536687346986634
E: Short memory stress test,48,0.011546617697654485
E: Short memory stress test,49,0.011541142771047194
E: Short memory stress test,50,0.01153053836463109
E: Short memory stress test,51,0.011528854202589452
E: Short memory stress test,52,0.011514283105113042
E: Short memory stress test,53,0.011522482341254175
E: Short memory stress test,54,0.011514662588719735
E: Short memory stress test,55,0.011516483173514789
E: Short memory stress test,56,0.011524074105888403
E: Short memory stress test,57,0.011521297590948817
E: Short memory stress test,58,0.01151416302399328
E: Short memory stress test,59,0.01151534355118135
E: Short memory stress test,60,0.011522656233328621
F: Near-ideal reference,1,0.12791431227140446
F: Near-ideal reference,2,0.15887892342642299
F: Near-ideal reference,3,0.17459338654384216
F: Near-ideal reference,4,0.18383936211966287
F: Near-ideal reference,5,0.18941999652595445
F: Near-ideal reference,6,0.19286873630671628
F: Near-ideal reference,7,0.19482040821101546
F: Near-ideal reference,8,0.19610259676703304
F: Near-ideal reference,9,0.1970280832446723
F: Near-ideal reference,10,0.19770519748946902
F: Near-ideal reference,11,0.19799376487440665
F: Near-ideal reference,12,0.1982881538321082
F: Near-ideal reference,13,0.19852150042638558
F: Near-ideal reference,14,0.19858450219036816
F: Near-ideal reference,15,0.19868218561939996
F: Near-ideal reference,16,0.19870904796701738
F: Near-ideal reference,17,0.19873387781846233
F: Near-ideal reference,18,0.19876427053116996
F: Near-ideal reference,19,0.1987751986539821
F: Near-ideal reference,20,0.19877656483245407
F: Near-ideal reference,21,0.19877549258993515
F: Near-ideal reference,22,0.19879100283356507
F: Near-ideal reference,23,0.19877734638812672
F: Near-ideal reference,24,0.1987734667213397
F: Near-ideal reference,25,0.19878533114160374
F: Near-ideal reference,26,0.1987800718045904
F: Near-ideal reference,27,0.19877841910526312
F: Near-ideal reference,28,0.19878057517474257
F: Near-ideal reference,29,0.19878072991354592
F: Near-ideal reference,30,0.1987793109246206
F: Near-ideal reference,31,0.19878755167214096
F: Near-ideal reference,32,0.19878659857571354
F: Near-ideal reference,33,0.19878670877698082
F: Near-ideal reference,34,0.1987857556881687
F: Near-ideal reference,35,0.19878477151874235
F: Near-ideal reference,36,0.1987843009475347
F: Near-ideal reference,37,0.1987865431475571
F: Near-ideal reference,38,0.1987865431475571
F: Near-ideal reference,39,0.1987865431475571
F: Near-ideal reference,40,0.1987865431475571
F: Near-ideal reference,41,0.1987865431475571
F: Near-ideal reference,42,0.1987865431475571
F: Near-ideal reference,43,0.1987865431475571
F: Near-ideal reference,44,0.1987865431475571
F: Near-ideal reference,45,0.1987865431475571
F: Near-ideal reference,46,0.1987865431475571
F: Near-ideal reference,47,0.1987865431475571
F: Near-ideal reference,48,0.1987865431475571
F: Near-ideal reference,49,0.1987865431475571
F: Near-ideal reference,50,0.1987865431475571
F: Near-ideal reference,51,0.1987865431475571
F: Near-ideal reference,52,0.1987865431475571
F: Near-ideal reference,53,0.1987865431475571
F: Near-ideal reference,54,0.1987865431475571
F: Near-ideal reference,55,0.1987865431475571
F: Near-ideal reference,56,0.1987865431475571
F: Near-ideal reference,57,0.1987865431475571
F: Near-ideal reference,58,0.1987865431475571
F: Near-ideal reference,59,0.1987865431475571
F: Near-ideal reference,60,0.1987865431475571
