label,cutoff_n,skr
fast-gen,36,0.08006746306269445
fast-gen,37,0.08006607160975027
fast-gen,38,0.08006607160975027
fast-gen,39,0.08006607160975027
fast-gen,40,0.08006607160975027
fast-gen,41,0.08006607160975027
fast-gen,42,0.08006607160975027
fast-gen,43,0.08006607160975027
fast-gen,44,0.08006607160975027
fast-gen,45,0.08006607160975027
fast-gen,46,0.08006607160975027
fast-gen,47,0.08006607160975027
fast-gen,48,0.08006607160975027
fast-gen,49,0.08006607160975027
fast-gen,50,0.08006607160975027
fast-gen,51,0.08006607160975027
fast-gen,52,0.08006607160975027
fast-gen,53,0.08006607160975027
fast-gen,54,0.08006607160975027
fast-gen,55,0.08006607160975027
fast-gen,56,0.08006607160975027
fast-gen,57,0.08006607160975027
fast-gen,58,0.08006607160975027
fast-gen,59,0.08006607160975027
fast-gen,60,0.08006607160975027
fast-gen,61,0.08006607160975027
fast-gen,62,0.08006607160975027
fast-gen,63,0.08006607160975027
fast-gen,64,0.08006607160975027
fast-gen,65,0.08006607160975027
fast-gen,66,0.08006607160975027
fast-gen,67,0.08006607160975027
fast-gen,68,0.08006607160975027
fast-gen,69,0.08006607160975027
fast-gen,70,0.08006607160975027
fast-gen,71,0.08006607160975027
fast-gen,72,0.08006607160975027
fast-gen,73,0.08006607160975027
fast-gen,74,0.08006607160975027
fast-gen,75,0.08006607160975027
fast-gen,76,0.08006607160975027
fast-gen,77,0.08006607160975027
fast-gen,78,0.08006607160975027
fast-gen,79,0.08006607160975027
fast-gen,80,0.08006607160975027
fast-gen,81,0.08006607160975027
fast-gen,82,0.08006607160975027
fast-gen,83,0.08006607160975027
fast-gen,84,0.08006607160975027
fast-gen,85,0.08006607160975027
fast-gen,86,0.08006607160975027
fast-gen,87,0.08006607160975027
fast-gen,88,0.08006607160975027
fast-gen,89,0.08006607160975027
fast-gen,90,0.08006607160975027
fast-gen,91,0.08006607160975027
fast-gen,92,0.08006607160975027
fast-gen,93,0.08006607160975027
fast-gen,94,0.08006607160975027
fast-gen,95,0.08006607160975027
fast-gen,96,0.08006607160975027
fast-gen,97,0.08006607160975027
fast-gen,98,0.08006607160975027
fast-gen,99,0.08006607160975027
fast-gen,100,0.08006607160975027
fast-gen,101,0.08006607160975027
fast-gen,102,0.08006607160975027
fast-gen,103,0.08006607160975027
fast-gen,104,0.08006607160975027
fast-gen,105,0.08006607160975027
fast-gen,106,0.08006607160975027
fast-gen,107,0.08006607160975027
fast-gen,108,0.08006607160975027
fast-gen,109,0.08006607160975027
fast-gen,110,0.08006607160975027
fast-gen,111,0.08006607160975027
fast-gen,112,0.08006607160975027
fast-gen,113,0.08006607160975027
fast-gen,114,0.08006607160975027
fast-gen,115,0.08006607160975027
fast-gen,116,0.08006607160975027
fast-gen,117,0.08006607160975027
fast-gen,118,0.08006607160975027
fast-gen,119,0.08006607160975027
fast-gen,120,0.08006607160975027
fast-gen,121,0.08006607160975027
fast-gen,122,0.08006607160975027
fast-gen,123,0.08006607160975027
fast-gen,124,0.08006607160975027
fast-gen,125,0.08006607160975027
fast-gen,126,0.08006607160975027
fast-gen,127,0.08006607160975027
fast-gen,128,0.08006607160975027
fast-gen,129,0.08006607160975027
fast-gen,130,0.08006607160975027
fast-gen,131,0.08006607160975027
fast-gen,132,0.08006607160975027
fast-gen,133,0.08006607160975027
fast-gen,134,0.08006607160975027
fast-gen,135,0.08006607160975027
fast-gen,136,0.08006607160975027
fast-gen,137,0.08006607160975027
fast-gen,138,0.08006607160975027
fast-gen,139,0.08006607160975027
fast-gen,140,0.08006607160975027
fast-gen,141,0.08006607160975027
fast-gen,142,0.08006607160975027
fast-gen,143,0.08006607160975027
fast-gen,144,0.08006607160975027
fast-gen,145,0.08006607160975027
fast-gen,146,0.08006607160975027
fast-gen,147,0.08006607160975027
fast-gen,148,0.08006607160975027
fast-gen,149,0.08006607160975027
fast-gen,150,0.08006607160975027
slow-gen,1,0.002502194264505512
slow-gen,2,0.0037807597632546455
slow-gen,3,0.004816068818338328
slow-gen,4,0.005652957620697408
slow-gen,5,0.006359345417254252
slow-gen,6,0.006960152369480939
slow-gen,7,0.007493993510652649
slow-gen,8,0.007936180942466483
slow-gen,9,0.008325111484871082
slow-gen,10,0.008650450657228031
slow-gen,11,0.008948883550419295
slow-gen,12,0.009178638728207112
slow-gen,13,0.009415724253644914
slow-gen,14,0.009608555798675875
slow-gen,15,0.009777299026465625
slow-gen,16,0.009931503488423513
slow-gen,17,0.010065351341057528
slow-gen,18,0.010179042752259474
slow-gen,19,0.010291275607321345
slow-gen,20,0.010396037167153626
slow-gen,21,0.010472955581564273
slow-gen,22,0.010549078478843957
slow-gen,23,0.010624519698111637
slow-gen,24,0.010677182032585419
slow-gen,25,0.01073317708674973
slow-gen,26,0.010809130094837627
slow-gen,27,0.010857563119543131
slow-gen,28,0.01090735749259867
slow-gen,29,0.010944625034203995
slow-gen,30,0.010976260799664999
slow-gen,31,0.011009276569887786
slow-gen,32,0.011038597275887956
slow-gen,33,0.011052181612356736
slow-gen,34,0.01105625352397925
slow-gen,35,0.011069209052336361
slow-gen,36,0.01109446380117203
slow-gen,37,0.011093320258808596
slow-gen,38,0.01111722369246296
slow-gen,39,0.011114937680254237
slow-gen,40,0.011128144334821975
slow-gen,41,0.011135612901639171
slow-gen,42,0.011140157360419189
slow-gen,43,0.011144803693709484
slow-gen,44,0.01115713448082976
slow-gen,45,0.01115373129558239
slow-gen,46,0.011165013114536809
slow-gen,47,0.011162860172463903
slow-gen,48,0.011166654168190855
slow-gen,49,0.01116584480072107
slow-gen,50,0.01116910457409596
slow-gen,51,0.011168368904772904
slow-gen,52,0.011174485925849981
slow-gen,53,0.01117803031730838
slow-gen,54,0.01117679400896222
slow-gen,55,0.011182708692061092
slow-gen,56,0.01118203376614313
slow-gen,57,0.011175950446175432
slow-gen,58,0.011179685976429474
slow-gen,59,0.011178150131584783
slow-gen,60,0.011181127096819619
slow-gen,61,0.011176850146786784
slow-gen,62,0.011187231624412956
slow-gen,63,0.011186455442678604
slow-gen,64,0.011188475965054205
slow-gen,65,0.011179729612483806
slow-gen,66,0.011177719485668593
slow-gen,67,0.011172630438827946
slow-gen,68,0.011174058332358237
slow-gen,69,0.011173407259853321
slow-gen,70,0.011162234135377026
slow-gen,71,0.011161295791951513
slow-gen,72,0.01115383809513976
slow-gen,73,0.011145510953785694
slow-gen,74,0.011131156147869926
slow-gen,75,0.011132000352229473
slow-gen,76,0.011131613038776248
slow-gen,77,0.011131700521365251
slow-gen,78,0.011134790871765618
slow-gen,79,0.011128808308193476
slow-gen,80,0.011127559065231135
slow-gen,81,0.011138913235552127
slow-gen,82,0.011128010326094184
slow-gen,83,0.011124751639643715
slow-gen,84,0.011122197881536663
slow-gen,85,0.011121021605584045
slow-gen,86,0.011122577086302727
slow-gen,87,0.011122811274283752
slow-gen,88,0.01112276996633506
slow-gen,89,0.01112885330500207
slow-gen,90,0.011124101369879716
slow-gen,91,0.011122031042112998
slow-gen,92,0.011118316471193492
